practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile
19,69,3,0.8854560256532102,-0.4647231720437679,14730,2
19,70,3,0.8229838658936571,-0.5680647467311547,14730,2
19,71,2,0.7485107481711012,-0.6631226582407952,14730,2
19,72,4,0.6631226582407956,-0.7485107481711006,14730,2
19,74,3,0.4647231720437685,-0.8854560256532099,14730,2
19,75,2,0.35460488704253607,-0.9350162426854146,14730,2
19,76,2,0.23931566428755877,-0.9709418174260518,14730,2
19,77,1,0.12053668025532287,-0.992708874098054,14730,2
19,78,3,3.673819061467132e-16,-1,14730,2
19,79,4,-0.12053668025532391,-0.9927088740980539,14730,2
19,80,2,-0.23931566428755807,-0.9709418174260519,14730,2
19,81,2,-0.3546048870425354,-0.93501624268541494,14730,2
19,82,2,-0.46472317204376784,-0.8854560256532102,14730,2
19,83,3,-0.5680647467311561,-0.8229838658936561,14730,2
19,84,2,-0.6631226582407951,-0.7485107481711012,14730,2
19,85,2,-0.7485107481711006,-0.6631226582407957,14730,2
19,86,3,-0.8229838658936557,-0.5680647467311568,14730,2
19,87,1,-0.885456025653209,-0.4647231720437701,14730,2
19,97,1,-0.7485107481711012,0.6631226582407951,14730,2
20,18,1,0.8229838658936565,-0.5680647467311557,10322,2
20,20,1,0.6631226582407952,-0.7485107481711012,10322,2
20,21,1,0.5680647467311558,-0.8229838658936564,10322,2
20,24,1,0.23931566428755768,-0.970941817426052,10322,2
20,25,2,0.12053668025532308,-0.992708874098054,10322,2
20,26,1,-3.216285744678249e-16,-1,10322,2
20,29,1,-0.3546048870425356,-0.9350162426854148,10322,2
20,31,1,-0.5680647467311556,-0.8229838658936565,10322,2
20,32,1,-0.663122658240795,-0.7485107481711013,10322,2
20,34,1,-0.8229838658936564,-0.5680647467311559,10322,2
20,35,3,-0.8854560256532096,-0.4647231720437691,10322,2
20,36,2,-0.9350162426854147,-0.3546048870425359,10322,2
20,38,1,-0.992708874098054,-0.12053668025532357,10322,2
20,41,2,-0.9709418174260521,0.23931566428755738,10322,2
20,42,2,-0.9350162426854148,0.35460488704253557,10322,2
20,44,1,-0.822983865893657,0.5680647467311548,10322,2
20,46,2,-0.6631226582407955,0.7485107481711007,10322,2
20,47,1,-0.5680647467311559,0.8229838658936564,10322,2
20,49,1,-0.35460488704253595,0.9350162426854147,10322,2
20,50,2,-0.2393156642875578,0.970941817426052,10322,2
20,51,1,-0.12053668025532363,0.992708874098054,10322,2
20,53,1,0.12053668025532314,0.992708874098054,10322,2
