practice_id,cont_week,cases,sinwe,coswe,population,uk_imdquintile,gp_count,practice_country
45,122,1,0.8229838658936562,-0.568064746731156,6292,4,6,England
45,123,2,0.7485107481711013,-0.663122658240795,6292,4,6,England
45,126,1,0.46472317204376873,-0.8854560256532098,6292,4,6,England
45,127,2,0.3546048870425363,-0.9350162426854146,6292,4,6,England
45,129,1,0.12053668025532488,-0.9927088740980538,6292,4,6,England
45,131,1,-0.12053668025532366,-0.992708874098054,6292,4,6,England
45,132,1,-0.23931566428755782,-0.970941817426052,6292,4,6,England
45,134,1,-0.4647231720437692,-0.8854560256532096,6292,4,6,England
45,138,1,-0.8229838658936556,-0.568064746731157,6292,4,6,England
47,86,1,-0.8229838658936557,-0.5680647467311568,3634,3,4,England
47,87,1,-0.885456025653209,-0.4647231720437701,3634,3,4,England
47,88,1,-0.935016242685414,-0.3546048870425378,3634,3,4,England
47,89,1,-0.9709418174260522,-0.2393156642875571,3634,3,4,England
47,90,1,-0.992708874098054,-0.12053668025532294,3634,3,4,England
47,92,2,-0.9927088740980541,0.12053668025532208,3634,3,4,England
47,93,1,-0.9709418174260523,0.23931566428755627,3634,3,4,England
47,101,2,-0.3546048870425362,0.9350162426854146,3634,3,4,England
47,102,2,-0.2393156642875589,0.9709418174260518,3634,3,4,England
47,103,2,-0.12053668025532475,0.9927088740980538,3634,3,4,England
47,104,2,1.2865142978712996e-15,1,3634,3,4,England
47,108,1,0.46472317204376773,0.8854560256532104,3634,3,4,England
47,112,1,0.8229838658936556,0.5680647467311569,3634,3,4,England
47,116,2,0.992708874098054,0.12053668025532305,3634,3,4,England
47,119,1,0.9709418174260525,-0.23931566428755616,3634,3,4,England
47,121,1,0.8854560256532096,-0.46472317204376923,3634,3,4,England
47,122,1,0.8229838658936562,-0.568064746731156,3634,3,4,England
47,126,1,0.46472317204376873,-0.8854560256532098,3634,3,4,England
47,127,2,0.3546048870425363,-0.9350162426854146,3634,3,4,England
47,128,1,0.23931566428755902,-0.9709418174260517,3634,3,4,England
47,129,1,0.12053668025532488,-0.9927088740980538,3634,3,4,England
48,93,1,-0.9709418174260523,0.23931566428755627,9463,2,6,England
48,94,1,-0.93501624268541494,0.35460488704253534,9463,2,6,England
48,97,1,-0.7485107481711012,0.6631226582407951,9463,2,6,England
48,105,1,0.12053668025532378,0.9927088740980539,9463,2,6,England
48,108,1,0.46472317204376773,0.8854560256532104,9463,2,6,England
48,120,1,0.9350162426854156,-0.35460488704253357,9463,2,6,England
